ensembl.transcriptID	Is.Oncogene	Is.Tumor.Suppressor.Gene
ENST00000318560	Yes	No
ENST00000349310	Yes	No
ENST00000389048	Yes	No
ENST00000374869	No	Yes
ENST00000257430	No	Yes
ENST00000374690	Yes	No
ENST00000324856	No	Yes
ENST00000375687	No	Yes
ENST00000278616	No	Yes
ENST00000373344	No	Yes
ENST00000262320	No	Yes
ENST00000460680	No	Yes
ENST00000333681	Yes	No
ENST00000378444	No	Yes
ENST00000646891	Yes	No
ENST00000357654	No	Yes
ENST00000380152	No	Yes
ENST00000396946	Yes	No
ENST00000264033	No	Yes
ENST00000367435	No	Yes
ENST00000261769	No	Yes
ENST00000304494	No	Yes
ENST00000498907	No	Yes
ENST00000575354	No	Yes
ENST00000262367	No	Yes
ENST00000349496	Yes	No
ENST00000266000	No	Yes
ENST00000264709	No	Yes
ENST00000275493	Yes	No
ENST00000263253	No	Yes
ENST00000269571	Yes	No
ENST00000320356	Yes	Yes
ENST00000281708	No	Yes
ENST00000358487	Yes	No
ENST00000440486	Yes	No
ENST00000241453	Yes	No
ENST00000648323	Yes	Yes
ENST00000346208	Yes	Yes
ENST00000078429	Yes	No
ENST00000286548	Yes	No
ENST00000371085	Yes	No
ENST00000257555	No	Yes
ENST00000451590	Yes	No
ENST00000345146	Yes	No
ENST00000330062	Yes	No
ENST00000342505	Yes	Yes
ENST00000381652	Yes	No
ENST00000458235	Yes	No
ENST00000375401	No	Yes
ENST00000377967	No	Yes
ENST00000288135	Yes	No
ENST00000301067	No	Yes
ENST00000311936	Yes	No
ENST00000307102	Yes	No
ENST00000399503	No	Yes
ENST00000374080	Yes	Yes
ENST00000312049	No	Yes
ENST00000397752	Yes	No
ENST00000231790	No	Yes
ENST00000372470	Yes	No
ENST00000233146	No	Yes
ENST00000234420	No	Yes
ENST00000396334	Yes	No
ENST00000356175	No	Yes
ENST00000338641	No	Yes
ENST00000397062	Yes	No
ENST00000651671	Yes	Yes
ENST00000256646	Yes	Yes
ENST00000296930	No	Yes
ENST00000369535	Yes	No
ENST00000358127	Yes	Yes
ENST00000394830	No	Yes
ENST00000257290	Yes	No
